SSN,Network,Station,Longitude_s,Latitude_s,Site.Name,Vs30(m/s),Geological_U
100345,NC,PMPB,-120.801262,36.215904,Monarch Peak,308.1291969,KJf
100452,CI,RCT,-119.24384,36.30523,Rector,282.4859988,Qal1
100390,CI,SAN,-117.88578,33.70432,Santa Ana,222.3471526,Qal1
100522,CI,SMV,-118.74407,34.27091,Simi Valley,259.5893159,Qal2
100110,CI,GSA,-118.1283,34.13677,Geol. Surv. Anal.,324.8973182,Qoa
3051,CI,CRN,-117.56106,33.87574,Corona,366.7491643,Qal3
100175,CI,LBW1,-118.08837,33.798,Long Beach 1,299.7337072,Qal2
3060,CI,CFS,-117.28287,34.10539,Central Fire Station,325.8314207,Qal2
3059,CI,FON,-117.43876,34.09957,Fontana,404.1476684,Qal2
100473,CI,WNS,-118.38,34.115,Wonderland Avenue School,1043,crystalline
1213,NP,5030,-117.99099,34.52149,"5030, Palmdale, CA (LT2)",442,Qal3
80000050,SB,GVDA,-116.6738,33.6689,Garner Valley,281.5002947,Qal2
451,CE,57383,-121.4848,37.0254,Gilroy #6 - San Ysidro Microwave Site,655.0272734,Kss
100519,NC,PHOB,-120.479607,35.866611,Hog Canyon #3,375.7495244,QT
100448,NC,JSFB,-122.175957,37.403721,Stanford Telescope,431.4950525,Tss
100217,NC,CSL,-122.119293,37.724159,San Leandro Hills,378.063504,crystalline
100058,NC,JBMB,-122.153145,37.318607,Black Mountain #3,441.1230253,KJf
100051,NC,CHR,-121.768867,37.372883,Mt Hamilton Rd,462.7201204,Tss
100047,NC,CADB,-121.62645,37.16346,Anderson Reservoir #4,600.1161594,KJf
100376,NC,PSM,-120.596184,36.068806,Smith Mountain,338.5469924,Tsh
100064,NC,JLAB,-121.734673,37.15432,Laurel Hill,477.2375529,KJf
100381,NC,CCOB,-121.673119,37.258984,Coe Ranch #3,418.3892185,Kss
100383,NC,JBNB,-122.155197,37.120449,Ben Lomond Mountain,759.8397654,crystalline
100061,NC,JFP,-122.189857,37.360447,Foothills Park,436.5709656,KJf
100115,CI,LEV,-118.289268,34.614048,Leona Valley,505,Qal3
318,CE,24157,-118.362,34.008,Los Angeles - Baldwin Hills,290.7226265,QT
303,CE,23542,-117.293,34.066,San Bernardino - E & Hospitality,342.4027248,Qal2
108,NP,637,-118.479,34.249,CA Los Angeles - Sepulveda VAMC Bld 40,364.9925632,Qal2
3070,CI,MSJ,-116.968,33.808,Mt. San Jacinto Campus,244.4163776,Qal2
315,CE,24087,-118.44,34.236,Arleta - Nordhoff Ave Fire Sta [aband],295.6920477,Qal2
316,CE,24088,-118.376,34.296,Pacoima - Kagel Canyon Fire Sta,496.6041187,Tsh
324,CE,24279,-118.534,34.388,Newhall - County Fire Sta.,264.8105363,Qal2
1153,NP,655,-118.498,34.313,Jensen Filter Plant Generator Building,525.79,QT
512,USC,90003,-118.517,34.209,Northridge - 17645 Saticoy St,280.86,Qal2
100048,NC,CAL,-121.8004,37.45035,Calaveras Reservoir #2,519,KJf
100104,CI,DVT,-116.1006,32.65915,Desert View Tower,625,crystalline
100269,CI,SLA,-117.2833,35.891,Slate Mountain,482,Tv
100427,NC,JSGB,-122.0502,37.28397,Saratoga Golf Course,376,QT
100562,CI,PASA,-118.1711,34.1484,Pasadena (PASA),639.74,crystalline
337,CE,24400,-118.178,34.037,LA - Obregon Park,349.43,Qal3
